intake_date,intake_type,intake_subtype,ken_jurisdiction,ken_zip,outcome_type,animal_id,animal_type,primary_breed,secondary_breed,person_id,src_zip,src_jurisdiction,person_id,own_zip,own_jurisdiction,microchip,microchip_bin
00:00.0,STRAY,FIELD,AUSTIN,78717,TRANSFER,A827823,DOG,MALTESE,NULL,P796237,78717,NULL,P140290,78766,NULL,981020001901480,1
00:00.0,STRAY,FIELD,AUSTIN,78741,ADOPTION,A827801,DOG,LABRADOR RETR,MIX,P795947,78741,NULL,P718232,78745,NULL,982126059778997,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78758,ADOPTION,A827797,CAT,DOMESTIC SH,NULL,P796171,78758,NULL,P796171,78758,NULL,982126059771903,1
00:00.0,STRAY,FIELD,AUSTIN,78748,ADOPTION,A827824,DOG,PIT BULL,NULL,P796022,78748,NULL,P793762,78752,NULL,982126059770006,1
00:00.0,STRAY,FIELD,AUSTIN,78724,TRANSFER,A827811,DOG,POODLE MIN,NULL,P796207,78724,NULL,P190331,74107,NULL,982126059777532,1
00:00.0,STRAY,FIELD,AUSTIN,78753,RTO,A827798,DOG,SIBERIAN HUSKY,NULL,P795018,78753,NULL,P796213,78753,NULL,982126059763820,1
00:00.0,STRAY,FIELD,AUSTIN,78723,RTO,A827820,DOG,DACHSHUND LH,CHIHUAHUA LH,P763446,78723,NULL,P796245,78723,NULL,981020031068538,1
00:00.0,STRAY,OTC,AUSTIN,78725,RTO,A827240,CAT,DOMESTIC SH,MIX,P794205,78725,NULL,P083529,78703,AUSTIN,981020025862877,1
00:00.0,STRAY,FIELD,AUSTIN,78744,ADOPTION,A827821,DOG,CHIHUAHUA SH,NULL,P700413,78744,AUSTIN,P796010,78745,NULL,982126059778325,1
00:00.0,STRAY,OTC,AUSTIN,78748,ADOPTION,A827714,CAT,DOMESTIC SH,NULL,P552009,78748,NULL,P799245,78705,NULL,982126059826053,1
00:00.0,STRAY,FIELD,AUSTIN,78723,RTO,A827770,DOG,PIT BULL,NULL,P796044,78723,NULL,P487551,78723,NULL,982126059760979,1
00:00.0,STRAY,OTC,AUSTIN,78753,ADOPTION,A827778,CAT,DOMESTIC SH,NULL,P796009,78753,NULL,P804591,NULL,NULL,982126059832472,1
00:00.0,STRAY,FIELD,AUSTIN,78758,RTO,A806716,DOG,POODLE MIN,MALTESE,P795808,78758,NULL,P742867,78758,AUSTIN,981020017136649,1
00:00.0,STRAY,FIELD,AUSTIN,78758,RTO,A806718,DOG,POODLE MIN,MALTESE,P795808,78758,NULL,P742867,78758,AUSTIN,981020029098743,1
00:00.0,STRAY,FIELD,AUSTIN,78758,RTO,A816200,DOG,MALTESE,NULL,P795808,78758,NULL,P742867,78758,AUSTIN,981020029268896,1
00:00.0,STRAY,OTC,AUSTIN,78723,ADOPTION,A827741,DOG,PIT BULL,NULL,P795995,78723,NULL,P799903,78756,NULL,982126059761371,1
00:00.0,STRAY,FIELD,AUSTIN,78723,ADOPTION,A827754,DOG,BORDER COLLIE,NULL,P642581,78723,NULL,P807092,78733,NULL,982126059773213,1
00:00.0,STRAY,FIELD,TRAVIS,78617,RTO,A827771,DOG,AUST CATTLE DOG,MIX,P795888,,NULL,P747203,78617,TRAVIS,900164001945616,1
00:00.0,STRAY,FIELD,TRAVIS,78653,ADOPTION,A827738,DOG,GREAT DANE,NULL,P106011,78767,NULL,P796875,78729,NULL,982126059763625,1
00:00.0,STRAY,OTC,AUSTIN,78704,TRANSFER,A827775,CAT,DOMESTIC SH,MIX,P726429,78704,NULL,P773420,78702,NULL,982126060052102,1
00:00.0,STRAY,OTC,AUSTIN,78723,ADOPTION,A827740,DOG,PIT BULL,NULL,P795995,78723,NULL,P800312,78660,NULL,982126059765199,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827706,CAT,DOMESTIC SH,NULL,P571246,78758,NULL,P773420,78702,NULL,982126059845998,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827705,CAT,DOMESTIC SH,NULL,P571246,78758,NULL,P773420,78702,NULL,NULL,0
00:00.0,STRAY,OTC,AUSTIN,78744,TRANSFER,A827700,CAT,DOMESTIC SH,MIX,P795793,78744,NULL,P773420,78702,NULL,982126059956500,1
00:00.0,STRAY,FIELD,AUSTIN,78721,TRANSFER,A827682,CAT,DOMESTIC SH,NULL,P795663,78721,NULL,P773420,78702,NULL,982126060052236,1
00:00.0,STRAY,FIELD,AUSTIN,78753,ADOPTION,A827685,CAT,DOMESTIC SH,NULL,P125679,78753,TRAVIS,P814398,28173,NULL,982126054170571,1
00:00.0,STRAY,FIELD,AUSTIN,78753,ADOPTION,A827689,DOG,AM PIT BULL TER,MIX,P364008,78745,NULL,P824633,78733,NULL,982126059765470,1
00:00.0,STRAY,FIELD,TRAVIS,78617,ADOPTION,A827719,CAT,DOMESTIC SH,NULL,P795917,78617,NULL,P795917,78617,NULL,982126059769446,1
00:00.0,STRAY,FIELD,AUSTIN,78746,TRANSFER,A827680,CAT,DOMESTIC SH,NULL,P714156,78727,NULL,P070962,78752,AUSTIN,NULL,0
00:00.0,STRAY,FIELD,AUSTIN,78745,ADOPTION,A827699,DOG,AUST CATTLE DOG,NULL,P795857,78745,NULL,P793760,78741,NULL,982126059760886,1
00:00.0,STRAY,FIELD,AUSTIN,78753,RTO,A816475,DOG,PIT BULL,NULL,P795799,,NULL,P608263,78753,NULL,981020017333369,1
00:00.0,STRAY,FIELD,AUSTIN,78749,TRANSFER,A827652,DOG,SCHNAUZER MIN,NULL,P795345,78749,NULL,P523421,77387,NULL,982126059765223,1
00:00.0,STRAY,FIELD,AUSTIN,78749,TRANSFER,A827653,DOG,SCHNAUZER MIN,NULL,P795345,78749,NULL,P523421,77387,NULL,982126059824959,1
00:00.0,STRAY,FIELD,AUSTIN,78749,TRANSFER,A827651,DOG,SC WHEAT TERR,NULL,P795345,78749,NULL,P523421,77387,NULL,982126059761314,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78620,RTO,A827622,DOG,MALTESE,NULL,NULL,NULL,NULL,P704605,78620,NULL,981020007341792,1
00:00.0,STRAY,OTC,AUSTIN,78748,RTO,A826714,DOG,BLACK MOUTH CUR,NULL,P732376,78748,NULL,P178557,78748,TRAVIS,982126059825103,1
00:00.0,STRAY,QUARANTINE,AUSTIN,78752,ADOPTION,A827600,CAT,DOMESTIC SH,NULL,P795571,78752,AUSTIN,P798274,78702,NULL,982126059830688,1
00:00.0,STRAY,FIELD,AUSTIN,78724,TRANSFER,A827642,DOG,CHIHUAHUA SH,MIX,P673994,78724,NULL,P520778,78676,NULL,982126059763490,1
00:00.0,STRAY,FIELD,AUSTIN,78724,TRANSFER,A827643,DOG,CHIHUAHUA SH,NULL,P673994,78724,NULL,P520778,78676,NULL,982126059760717,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827662,DOG,CHIHUAHUA SH,NULL,P647319,78758,NULL,P520778,78676,NULL,982126059760777,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827657,DOG,CHIHUAHUA SH,NULL,P795708,78758,NULL,P520778,78676,NULL,982126059765327,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827656,CAT,DOMESTIC SH,NULL,P688537,78727,NULL,P083529,78703,AUSTIN,982126059778347,1
00:00.0,STRAY,FIELD,TRAVIS,78617,ADOPTION,A827667,DOG,SIBERIAN HUSKY,NULL,P795710,78617,NULL,P797124,78723,NULL,981020025604306,1
